DISTRITO FEDERAL,DISTRITO LOCAL,REGIÓN,MUNICIPIO,,POLÍGONO,SECCIÓN,LNOM,META,COMPROMISOS,AVANCE,DETECTADOS,OTROS,PORCENTAJE,EFECTIVIDAD
10,17,R3,SALAMANCA,,30_3227_11_03,438_56_2222902,574,287,337,0,0,0,0,0
10,17,R3,SALAMANCA,,30_3227_11_03,438_56_2223902,1016,508,492,0,0,0,0,0
10,17,R3,SALAMANCA,,30_3227_12_03,438_56_2224902,916,458,309,0,0,0,0,0
10,17,R3,SALAMANCA,,30_3227_12_03,438_56_2225902,858,429,396,0,0,0,0,0
10,17,R3,SALAMANCA,,30_3227_12_03,438_56_2226902,708,354,171,0,0,0,0,0
10,17,R3,SALAMANCA,,30_3227_12_03,438_56_2227902,484,242,220,0,0,0,0,0
10,17,R3,SALAMANCA,,30_3227_12_03,438_56_2228902,1052,526,306,0,0,0,0,0
10,17,R3,SALAMANCA,,30_3227_12_03,438_56_2229902,532,266,269,0,0,0,0,0
10,17,R3,SALAMANCA,,30_3227_12_03,438_56_2230902,990,495,489,0,0,0,0,0
10,17,R3,SALAMANCA,,30_3227_15_03,438_56_2231902,1988,994,696,0,0,0,0,0
10,17,R3,SALAMANCA,,30_3227_15_03,438_56_2232902,830,415,435,0,0,0,0,0
10,17,R3,SALAMANCA,,30_3227_15_03,438_56_2233902,1124,562,447,0,0,0,0,0
10,17,R3,SALAMANCA,,30_3227_15_03,438_56_2234902,866,433,305,0,0,0,0,0
10,17,R3,SALAMANCA,,30_3227_15_03,438_56_2235902,368,184,127,0,0,0,0,0
10,17,R3,SALAMANCA,,30_3227_15_03,438_56_2236902,836,418,252,0,0,0,0,0
10,17,R3,SALAMANCA,,30_3227_15_03,438_56_2237902,442,221,176,13,0,13,0,-100
10,17,R3,SALAMANCA,,30_3227_15_03,438_56_2238902,1372,686,310,0,0,0,0,0
10,17,R3,SALAMANCA,,30_3227_4_03,438_56_2239902,1020,510,248,0,0,0,0,0
10,17,R3,SALAMANCA,,30_3227_12_03,438_56_2240902,500,250,352,0,0,0,0,0
10,17,R3,SALAMANCA,,30_3227_13_03,438_56_2241902,538,269,170,25,0,25,0,-100
