DISTRITO FEDERAL,DISTRITO LOCAL,REGIÓN,MUNICIPIO,,POLÍGONO,SECCIÓN,LNOM,META,COMPROMISOS,AVANCE,DETECTADOS,OTROS,PORCENTAJE,EFECTIVIDAD
3,4,R2,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,,30_3214_1_03,438_56_752902,974,487,243.5,243.5,81.16666667,476,10.883,-79.9622
3,4,R2,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,,30_3214_2_03,438_56_753902,1168,584,292,292,97.33333333,469,13.3562,-71.4808
3,4,R2,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,,30_3214_1_03,438_56_754902,516,258,129,129,43,7,0,-100
3,4,R2,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,,30_3214_1_03,438_56_755902,1090,545,272.5,272.5,90.83333333,0,0,0
3,4,R2,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,,30_3214_1_03,438_56_756902,938,469,234.5,234.5,78.16666667,0,0,0
3,4,R2,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,,30_3214_1_03,438_56_757902,364,182,91,91,30.33333333,0,0,0
3,4,R2,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,,30_3214_1_03,438_56_758902,502,251,125.5,125.5,41.83333333,297,16.7331,-75.2212
3,4,R2,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,,30_3214_2_03,438_56_759902,1052,526,263,263,87.66666667,0,0,0
3,4,R2,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,,30_3214_7_03,438_56_783902,424,212,106,106,35.33333333,0,0,0
3,4,R2,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,,30_3214_5_03,438_56_784902,676,338,169,169,56.33333333,86,2.9586,-79.1667
3,4,R2,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,,30_3214_7_03,438_56_785902,432,216,108,108,36,0,0,0
3,4,R2,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,,30_3214_6_03,438_56_786902,352,176,88,88,29.33333333,147,6.8182,-84.9057
3,4,R2,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,,30_3214_6_03,438_56_787902,354,177,88.5,88.5,29.5,126,5.0847,-86.6667
3,4,R2,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,,30_3214_6_03,438_56_788902,478,239,119.5,119.5,39.83333333,0,0,0
3,4,R2,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,,30_3214_7_03,438_56_789902,220,110,55,55,18.33333333,54,1.8182,-92.8571
3,4,R2,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,,30_3214_5_03,438_56_790902,1070,535,267.5,267.5,89.16666667,0,0,0
3,4,R2,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,,30_3214_5_03,438_56_791902,498,249,124.5,124.5,41.5,0,0,0
3,4,R2,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,,30_3214_7_03,438_56_792902,764,382,191,191,63.66666667,0,0,0
3,4,R2,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,,30_3214_6_03,438_56_793902,964,482,241,241,80.33333333,0,0,0
3,4,R2,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,,30_3214_6_03,438_56_794902,406,203,101.5,101.5,33.83333333,161,8.867,-79.8883
3,4,R2,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,,30_3214_6_03,438_56_795902,390,195,97.5,97.5,32.5,72,3.5897,-82.2785
3,4,R2,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,,30_3214_6_03,438_56_796902,512,256,128,128,42.66666667,123,8.9844,-68.4932
3,4,R2,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,,30_3214_7_03,438_56_797902,1088,544,272,272,90.66666667,238,7.1691,-71.8412
3,4,R2,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,,30_3214_5_03,438_56_798902,430,215,107.5,107.5,35.83333333,0,0,0
3,4,R2,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,,30_3214_5_03,438_56_803902,1080,540,270,270,90,229,15.3704,-46.7949
3,4,R2,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,,30_3214_5_03,438_56_804902,924,462,231,231,77,0,0,0
3,4,R2,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,,30_3214_5_03,438_56_807902,560,280,140,140,46.66666667,0,0,0
3,4,R2,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,,30_3214_5_03,438_56_808902,1022,511,255.5,255.5,85.16666667,63,6.0665,-34.0426
6,4,R2,OCAMPO,,30_3222_1_03,438_56_1894902,478,239,87,82,9,73,3.7657,-78.0488
6,4,R2,OCAMPO,,30_3222_1_03,438_56_1895902,1002,501,181,828,50,778,9.98,-87.9227
6,4,R2,OCAMPO,,30_3222_1_03,438_56_1896902,576,288,80,271,9,262,3.125,-93.3579
6,4,R2,OCAMPO,,30_3222_1_03,438_56_1897902,882,441,127,211,9,202,2.0408,-91.4692
6,4,R2,OCAMPO,,30_3222_2_03,438_56_1898902,158,79,33,136,14,122,17.7215,-79.4118
6,4,R2,OCAMPO,,30_3222_2_03,438_56_1899902,452,226,19,259,4,255,1.7699,-96.9112
6,4,R2,OCAMPO,,30_3222_2_03,438_56_1900902,132,66,13,133,4,129,6.0606,-93.985
6,4,R2,OCAMPO,,30_3222_2_03,438_56_1901902,604,302,118,583,27,556,8.9404,-90.7376
6,4,R2,OCAMPO,,30_3222_2_03,438_56_1902902,172,86,26,95,3,92,3.4884,-93.6842
6,4,R2,OCAMPO,,30_3222_2_03,438_56_1903902,368,184,26,120,4,116,2.1739,-93.3333
6,4,R2,OCAMPO,,30_3222_2_03,438_56_1904902,414,207,52,130,3,127,1.4493,-95.3846
6,4,R2,OCAMPO,,30_3222_2_03,438_56_1905902,454,227,63,82,3,79,1.3216,-92.6829
6,4,R2,OCAMPO,,30_3222_2_03,438_56_1906902,412,206,56,24,1,23,0.4854,-91.6667
6,4,R2,OCAMPO,,30_3222_2_03,438_56_1907902,368,184,31,352,8,344,4.3478,-95.4545
6,4,R2,OCAMPO,,30_3222_2_03,438_56_1908902,484,242,37,251,4,247,1.6529,-96.8127
6,4,R2,OCAMPO,,30_3222_2_03,438_56_1909902,240,120,30,0,0,0,0,0
6,4,R2,OCAMPO,,30_3222_2_03,438_56_1910902,890,445,65,498,7,491,1.573,-97.1888
6,4,R2,OCAMPO,,30_3222_2_03,438_56_1911902,536,268,61,548,23,525,8.5821,-91.6058
6,4,R2,SAN DIEGO DE LA UNIÓN,,30_3229_1_03,438_56_2347902,618,309,58,587,14,573,4.5307,-95.23
6,4,R2,SAN DIEGO DE LA UNIÓN,,30_3229_1_03,438_56_2348902,726,363,123,529,24,505,6.6116,-90.9263
6,4,R2,SAN DIEGO DE LA UNIÓN,,30_3229_1_03,438_56_2349902,516,258,77,391,20,371,7.7519,-89.7698
6,4,R2,SAN DIEGO DE LA UNIÓN,,30_3229_1_03,438_56_2350902,606,303,79,421,13,408,4.2904,-93.8242
6,4,R2,SAN DIEGO DE LA UNIÓN,,30_3229_1_03,438_56_2351902,262,131,14,0,0,0,0,0
6,4,R2,SAN DIEGO DE LA UNIÓN,,30_3229_2_03,438_56_2365902,346,173,14,0,0,0,0,0
6,4,R2,SAN DIEGO DE LA UNIÓN,,30_3229_2_03,438_56_2366902,208,104,10,0,0,0,0,0
6,4,R2,SAN DIEGO DE LA UNIÓN,,30_3229_2_03,438_56_2367902,320,160,11,0,0,0,0,0
6,4,R2,SAN DIEGO DE LA UNIÓN,,30_3229_2_03,438_56_2368902,754,377,24,0,0,0,0,0
6,4,R2,SAN DIEGO DE LA UNIÓN,,30_3229_2_03,438_56_2369902,436,218,19,0,0,0,0,0
6,4,R2,SAN DIEGO DE LA UNIÓN,,30_3229_2_03,438_56_2370902,258,129,9,0,0,0,0,0
6,4,R2,SAN DIEGO DE LA UNIÓN,,30_3229_2_03,438_56_2371902,598,299,23,0,0,0,0,0
6,4,R2,SAN DIEGO DE LA UNIÓN,,30_3229_2_03,438_56_2372902,208,104,6,0,0,0,0,0
6,4,R2,SAN DIEGO DE LA UNIÓN,,30_3229_2_03,438_56_2373902,396,198,18,0,0,0,0,0
6,4,R2,SAN DIEGO DE LA UNIÓN,,30_3229_2_03,438_56_2374902,568,284,41,0,0,0,0,0
6,4,R2,SAN FELIPE,,30_3230_1_03,438_56_2375902,392,196,52,291,0,291,0,-100
6,4,R2,SAN FELIPE,,30_3230_1_03,438_56_2376902,346,173,44,365,0,365,0,-100
6,4,R2,SAN FELIPE,,30_3230_1_03,438_56_2377902,522,261,86,613,0,613,0,-100
6,4,R2,SAN FELIPE,,30_3230_1_03,438_56_2378902,372,186,46,386,0,386,0,-100
6,4,R2,SAN FELIPE,,30_3230_1_03,438_56_2379902,682,341,164,329,0,329,0,-100
6,4,R2,SAN FELIPE,,30_3230_1_03,438_56_2380902,392,196,72,290,0,290,0,-100
6,4,R2,SAN FELIPE,,30_3230_1_03,438_56_2381902,466,233,36,324,0,324,0,-100
6,4,R2,SAN FELIPE,,30_3230_1_03,438_56_2382902,580,290,124,492,0,492,0,-100
6,4,R2,SAN FELIPE,,30_3230_2_03,438_56_2383902,458,229,44,302,0,302,0,-100
6,4,R2,SAN FELIPE,,30_3230_2_03,438_56_2384902,338,169,30,243,0,243,0,-100
6,4,R2,SAN FELIPE,,30_3230_2_03,438_56_2385902,1000,500,167,832,0,832,0,-100
6,4,R2,SAN FELIPE,,30_3230_2_03,438_56_2386902,366,183,57,271,0,271,0,-100
6,4,R2,SAN FELIPE,,30_3230_2_03,438_56_2387902,450,225,54,416,0,416,0,-100
6,4,R2,SAN FELIPE,,30_3230_2_03,438_56_2388902,638,319,92,463,0,463,0,-100
6,4,R2,SAN FELIPE,,30_3230_2_03,438_56_2389902,534,267,79,549,0,549,0,-100
6,4,R2,SAN FELIPE,,30_3230_3_03,438_56_2390902,982,491,241,0,0,0,0,0
6,4,R2,SAN FELIPE,,30_3230_3_03,438_56_2391902,288,144,29,50,0,50,0,-100
6,4,R2,SAN FELIPE,,30_3230_4_03,438_56_2392902,682,341,36,193,0,193,0,-100
6,4,R2,SAN FELIPE,,30_3230_4_03,438_56_2393902,448,224,41,0,0,0,0,0
6,4,R2,SAN FELIPE,,30_3230_4_03,438_56_2394902,558,279,32,352,0,352,0,-100
6,4,R2,SAN FELIPE,,30_3230_4_03,438_56_2395902,268,134,15,89,0,89,0,-100
6,4,R2,SAN FELIPE,,30_3230_3_03,438_56_2396902,422,211,52,40,0,40,0,-100
6,4,R2,SAN FELIPE,,30_3230_3_03,438_56_2397902,352,176,17,0,0,0,0,0
6,4,R2,SAN FELIPE,,30_3230_3_03,438_56_2398902,618,309,135,280,0,280,0,-100
6,4,R2,SAN FELIPE,,30_3230_4_03,438_56_2399902,902,451,52,151,0,151,0,-100
6,4,R2,SAN FELIPE,,30_3230_4_03,438_56_2400902,508,254,80,117,0,117,0,-100
6,4,R2,SAN FELIPE,,30_3230_4_03,438_56_2401902,612,306,57,101,0,101,0,-100
6,4,R2,SAN FELIPE,,30_3230_4_03,438_56_2402902,356,178,123,0,0,0,0,0
6,4,R2,SAN FELIPE,,30_3230_7_03,438_56_2418902,256,128,54,213,0,213,0,-100
6,4,R2,SAN FELIPE,,30_3230_5_03,438_56_2419902,94,47,4,112,0,112,0,-100
6,4,R2,SAN FELIPE,,30_3230_7_03,438_56_2420902,596,298,22,0,0,0,0,0
6,4,R2,SAN FELIPE,,30_3230_5_03,438_56_2421902,324,162,13,234,0,234,0,-100
6,4,R2,SAN FELIPE,,30_3230_7_03,438_56_2422902,474,237,30,66,0,66,0,-100
6,4,R2,SAN FELIPE,,30_3230_6_03,438_56_2423902,270,135,65,89,0,89,0,-100
6,4,R2,SAN FELIPE,,30_3230_7_03,438_56_2424902,360,180,17,0,0,0,0,0
6,4,R2,SAN FELIPE,,30_3230_6_03,438_56_2425902,376,188,28,0,0,0,0,0
6,4,R2,SAN FELIPE,,30_3230_6_03,438_56_2426902,532,266,60,0,0,0,0,0
6,4,R2,SAN FELIPE,,30_3230_6_03,438_56_2427902,448,224,78,226,0,226,0,-100
6,4,R2,SAN FELIPE,,30_3230_6_03,438_56_2428902,194,97,6,0,0,0,0,0
6,4,R2,SAN FELIPE,,30_3230_6_03,438_56_2429902,298,149,8,0,0,0,0,0
6,4,R2,SAN FELIPE,,30_3230_7_03,438_56_2430902,218,109,27,38,0,38,0,-100
6,4,R2,SAN FELIPE,,30_3230_7_03,438_56_2431902,372,186,72,0,0,0,0,0
6,4,R2,SAN FELIPE,,30_3230_6_03,438_56_2432902,374,187,72,236,0,236,0,-100
6,4,R2,SAN FELIPE,,30_3230_6_03,438_56_2433902,328,164,46,0,0,0,0,0
6,4,R2,SAN FELIPE,,30_3230_7_03,438_56_2434902,278,139,37,0,0,0,0,0
6,4,R2,SAN FELIPE,,30_3230_6_03,438_56_2435902,478,239,97,0,0,0,0,0
6,4,R2,SAN FELIPE,,30_3230_7_03,438_56_2436902,364,182,44,56,0,56,0,-100
6,4,R2,SAN FELIPE,,30_3230_7_03,438_56_2437902,242,121,17,151,0,151,0,-100
6,4,R2,SAN FELIPE,,30_3230_6_03,438_56_2438902,340,170,81,286,0,286,0,-100
6,4,R2,SAN FELIPE,,30_3230_6_03,438_56_2439902,618,309,53,131,0,131,0,-100
6,4,R2,SAN FELIPE,,30_3230_7_03,438_56_2440902,462,231,51,115,0,115,0,-100
6,4,R2,SAN FELIPE,,30_3230_6_03,438_56_2441902,510,255,44,0,0,0,0,0
6,4,R2,SAN FELIPE,,30_3230_7_03,438_56_2442902,244,122,7,0,0,0,0,0
6,4,R2,SAN FELIPE,,30_3230_7_03,438_56_2443902,280,140,38,0,0,0,0,0
6,4,R2,SAN FELIPE,,30_3230_7_03,438_56_2444902,332,166,22,0,0,0,0,0
6,4,R2,SAN FELIPE,,30_3230_7_03,438_56_2445902,284,142,27,190,0,190,0,-100
3,5,R1,ATARJEA,,30_326_1_03,438_56_331902,544,272,136,136,45.33333333,453,18.3824,-80.1193
3,5,R1,ATARJEA,,30_326_1_03,438_56_332902,706,353,176.5,176.5,58.83333333,410,16.1473,-75.5889
3,5,R1,ATARJEA,,30_326_1_03,438_56_333902,878,439,219.5,219.5,73.16666667,171,2.2779,-88.9503
3,5,R1,ATARJEA,,30_326_1_03,438_56_334902,546,273,136.5,136.5,45.5,1,0,-100
3,5,R1,ATARJEA,,30_326_1_03,438_56_335902,616,308,154,154,51.33333333,190,6.8182,-80.0948
3,5,R1,DOCTOR MORA,,30_3213_1_03,438_56_740902,1284,642,321,321,107,839,14.0187,-80.6243
3,5,R1,DOCTOR MORA,,30_3213_1_03,438_56_741902,1290,645,322.5,322.5,107.5,1016,13.1783,-84.5595
3,5,R1,DOCTOR MORA,,30_3213_1_03,438_56_742902,546,273,136.5,136.5,45.5,195,13.5531,-68.1034
3,5,R1,DOCTOR MORA,,30_3213_1_03,438_56_743902,244,122,61,61,20.33333333,203,22.9508,-75.7576
3,5,R1,DOCTOR MORA,,30_3213_1_03,438_56_744902,362,181,90.5,90.5,30.16666667,45,4.9724,-66.6667
3,5,R1,DOCTOR MORA,,30_3213_1_03,438_56_745902,366,183,91.5,91.5,30.5,220,15.3005,-77.4194
3,5,R1,DOCTOR MORA,,30_3213_2_03,438_56_746902,728,364,182,182,60.66666667,551,13.1868,-83.9733
3,5,R1,DOCTOR MORA,,30_3213_2_03,438_56_747902,1452,726,363,363,121,742,10.0551,-82.0859
3,5,R1,DOCTOR MORA,,30_3213_2_03,438_56_748902,1262,631,315.5,315.5,105.1666667,728,10.7765,-82.9146
3,5,R1,DOCTOR MORA,,30_3213_2_03,438_56_749902,758,379,189.5,189.5,63.16666667,503,14.5119,-80.2867
3,5,R1,DOCTOR MORA,,30_3213_2_03,438_56_750902,590,295,147.5,147.5,49.16666667,234,11.8644,-73.9777
3,5,R1,DOCTOR MORA,,30_3213_2_03,438_56_751902,550,275,137.5,137.5,45.83333333,530,14.9091,-85.6392
4,5,R1,SAN JOSÉ ITURBIDE,,30_3232_1_03,438_56_2505902,838,419,106,0,0,0,0,0
4,5,R1,SAN JOSÉ ITURBIDE,,30_3232_1_03,438_56_2506902,1398,699,215,0,0,0,0,0
4,5,R1,SAN JOSÉ ITURBIDE,,30_3232_1_03,438_56_2507902,778,389,85,73,2,71,0.5141,-94.5205
4,5,R1,SAN JOSÉ ITURBIDE,,30_3232_1_03,438_56_2508902,398,199,39,0,0,0,0,0
4,5,R1,SAN JOSÉ ITURBIDE,,30_3232_4_03,438_56_2528902,692,346,123,129,0,129,0,-100
4,5,R1,SAN JOSÉ ITURBIDE,,30_3232_4_03,438_56_2529902,500,250,35,0,0,0,0,0
4,5,R1,SAN JOSÉ ITURBIDE,,30_3232_4_03,438_56_2530902,764,382,29,287,0,287,0,-100
4,5,R1,SAN JOSÉ ITURBIDE,,30_3232_4_03,438_56_2531902,634,317,142,91,0,91,0,-100
4,5,R1,SAN JOSÉ ITURBIDE,,30_3232_3_03,438_56_2532902,550,275,92,71,0,71,0,-100
4,5,R1,SAN JOSÉ ITURBIDE,,30_3232_5_03,438_56_2533902,290,145,18,0,0,0,0,0
4,5,R1,SAN JOSÉ ITURBIDE,,30_3232_4_03,438_56_2534902,376,188,73,235,0,235,0,-100
4,5,R1,SAN JOSÉ ITURBIDE,,30_3232_5_03,438_56_2535902,702,351,54,0,0,0,0,0
4,5,R1,SAN JOSÉ ITURBIDE,,30_3232_5_03,438_56_2536902,406,203,22,0,0,0,0,0
4,5,R1,SAN JOSÉ ITURBIDE,,30_3232_5_03,438_56_2537902,528,264,42,0,0,0,0,0
4,5,R1,SAN JOSÉ ITURBIDE,,30_3232_5_03,438_56_2538902,280,140,43,0,0,0,0,0
4,5,R1,SAN JOSÉ ITURBIDE,,30_3232_5_03,438_56_2539902,224,112,44,0,0,0,0,0
4,5,R1,SAN JOSÉ ITURBIDE,,30_3232_5_03,438_56_2540902,462,231,11,0,0,0,0,0
4,5,R1,SAN JOSÉ ITURBIDE,,30_3232_5_03,438_56_2541902,374,187,61,0,0,0,0,0
4,5,R1,SAN JOSÉ ITURBIDE,,30_3232_5_03,438_56_2542902,502,251,76,0,0,0,0,0
3,5,R1,SAN LUIS DE LA PAZ,,30_3233_1_03,438_56_2543902,562,281,263,33,5,28,1.7794,-69.697
3,5,R1,SAN LUIS DE LA PAZ,,30_3233_1_03,438_56_2544902,756,378,561,356,49,307,12.963,-72.4719
3,5,R1,SAN LUIS DE LA PAZ,,30_3233_1_03,438_56_2545902,814,407,506,374,44,330,10.8108,-76.4706
3,5,R1,SAN LUIS DE LA PAZ,,30_3233_1_03,438_56_2546902,492,246,194,47,6,41,2.439,-74.4681
3,5,R1,SAN LUIS DE LA PAZ,,30_3233_1_03,438_56_2547902,414,207,98,96,0,96,0,-100
3,5,R1,SAN LUIS DE LA PAZ,,30_3233_1_03,438_56_2548902,612,306,280,720,49,671,16.0131,-86.3889
3,5,R1,SAN LUIS DE LA PAZ,,30_3233_1_03,438_56_2549902,588,294,279,747,69,678,23.4694,-81.5261
3,5,R1,SAN LUIS DE LA PAZ,,30_3233_2_03,438_56_2550902,532,266,143,0,0,0,0,0
3,5,R1,SAN LUIS DE LA PAZ,,30_3233_2_03,438_56_2551902,1444,722,380,199,16,183,2.2161,-83.9196
3,5,R1,SAN LUIS DE LA PAZ,,30_3233_2_03,438_56_2552902,476,238,114,38,2,36,0.8403,-89.4737
3,5,R1,SAN LUIS DE LA PAZ,,30_3233_2_03,438_56_2553902,590,295,136,45,3,42,1.0169,-86.6667
3,5,R1,SAN LUIS DE LA PAZ,,30_3233_2_03,438_56_2554902,604,302,131,108,9,99,2.9801,-83.3333
3,5,R1,SAN LUIS DE LA PAZ,,30_3233_3_03,438_56_2555902,290,145,81,15,0,15,0,-100
3,5,R1,SAN LUIS DE LA PAZ,,30_3233_3_03,438_56_2556902,734,367,279,0,0,0,0,0
3,5,R1,SAN LUIS DE LA PAZ,,30_3233_3_03,438_56_2557902,1008,504,224,331,15,316,2.9762,-90.9366
3,5,R1,SAN LUIS DE LA PAZ,,30_3233_3_03,438_56_2558902,812,406,306,0,0,0,0,0
3,5,R1,SAN LUIS DE LA PAZ,,30_3233_7_03,438_56_2595902,716,358,195,221,18,203,5.0279,-83.7104
3,5,R1,SAN LUIS DE LA PAZ,,30_3233_7_03,438_56_2596902,246,123,14,54,0,54,0,-100
3,5,R1,SAN LUIS DE LA PAZ,,30_3233_7_03,438_56_2597902,692,346,80,378,19,359,5.4913,-89.9471
3,5,R1,SAN LUIS DE LA PAZ,,30_3233_7_03,438_56_2598902,868,434,201,0,0,0,0,0
3,5,R1,SAN LUIS DE LA PAZ,,30_3233_7_03,438_56_2599902,478,239,116,200,9,191,3.7657,-91
3,5,R1,SAN LUIS DE LA PAZ,,30_3233_8_03,438_56_2600902,678,339,107,1,0,1,0,-100
3,5,R1,SAN LUIS DE LA PAZ,,30_3233_8_03,438_56_2601902,890,445,175,1,0,1,0,-100
3,5,R1,SAN LUIS DE LA PAZ,,30_3233_8_03,438_56_2602902,950,475,218,196,18,178,3.7895,-81.6327
3,5,R1,SANTA CATARINA,,30_3234_1_03,438_56_2603902,1150,575,355,10,0,10,0,-100
3,5,R1,SANTA CATARINA,,30_3234_1_03,438_56_2604902,1122,561,473,12,1,11,0.1783,-83.3333
3,5,R1,SANTA CATARINA,,30_3234_1_03,438_56_2605902,550,275,248,6,2,4,0.7273,-33.3333
3,5,R1,SANTA CATARINA,,30_3234_1_03,438_56_2606902,172,86,58,3,0,3,0,-100
3,5,R1,SANTA CATARINA,,30_3234_1_03,438_56_2607902,242,121,72,3,0,3,0,-100
3,5,R1,TIERRA BLANCA,,30_3240_1_03,438_56_2778902,1150,575,262,435,27,408,4.6957,-87.5862
3,5,R1,TIERRA BLANCA,,30_3240_1_03,438_56_2779902,1020,510,176,49,5,44,0.9804,-79.5918
3,5,R1,TIERRA BLANCA,,30_3240_1_03,438_56_2780902,672,336,137,291,14,277,4.1667,-90.378
3,5,R1,TIERRA BLANCA,,30_3240_2_03,438_56_2781902,1030,515,120,0,0,0,0,0
3,5,R1,TIERRA BLANCA,,30_3240_2_03,438_56_2782902,168,84,10,12,0,12,0,-100
3,5,R1,TIERRA BLANCA,,30_3240_2_03,438_56_2783902,830,415,145,97,12,85,2.8916,-75.2577
3,5,R1,TIERRA BLANCA,,30_3240_2_03,438_56_2784902,894,447,108,297,20,277,4.4743,-86.532
3,5,R1,TIERRA BLANCA,,30_3240_2_03,438_56_2785902,950,475,145,53,2,51,0.4211,-92.4528
3,5,R1,TIERRA BLANCA,,30_3240_1_03,438_56_2786902,44,22,5,0,0,0,0,0
3,5,R1,TIERRA BLANCA,,30_3240_2_03,438_56_2787902,230,115,45,58,8,50,6.9565,-72.4138
3,5,R1,TIERRA BLANCA,,30_3240_2_03,438_56_2788902,42,21,15,0,0,0,0,0
3,5,R1,TIERRA BLANCA,,30_3240_2_03,438_56_2789902,96,48,8,0,0,0,0,0
3,5,R1,VICTORIA,,30_3243_1_03,438_56_2891902,1114,557,261,347,23,324,4.1293,-86.7435
3,5,R1,VICTORIA,,30_3243_1_03,438_56_2892902,1382,691,189,469,37,432,5.3546,-84.2217
3,5,R1,VICTORIA,,30_3243_2_03,438_56_2893902,112,56,4,74,2,72,3.5714,-94.5946
3,5,R1,VICTORIA,,30_3243_2_03,438_56_2894902,318,159,16,0,0,0,0,0
3,5,R1,VICTORIA,,30_3243_2_03,438_56_2895902,508,254,15,0,0,0,0,0
3,5,R1,VICTORIA,,30_3243_2_03,438_56_2896902,58,29,,,,,,
3,5,R1,VICTORIA,,30_3243_2_03,438_56_2897902,468,234,5,0,0,0,0,0
3,5,R1,VICTORIA,,30_3243_2_03,438_56_2898902,310,155,9,94,0,94,0,-100
3,5,R1,VICTORIA,,30_3243_2_03,438_56_2899902,994,497,84,182,9,173,1.8109,-90.1099
3,5,R1,VICTORIA,,30_3243_2_03,438_56_2900902,882,441,156,208,14,194,3.1746,-86.5385
3,5,R1,VICTORIA,,30_3243_2_03,438_56_2901902,532,266,67,133,9,124,3.3835,-86.4662
3,5,R1,XICHÚ,,30_3245_2_03,438_56_2941902,196,98,27,77,2,75,2.0408,-94.8052
3,5,R1,XICHÚ,,30_3245_2_03,438_56_2942902,688,344,117,0,0,0,0,0
3,5,R1,XICHÚ,,30_3245_1_03,438_56_2943902,600,300,84,0,0,0,0,0
3,5,R1,XICHÚ,,30_3245_1_03,438_56_2944902,472,236,41,0,0,0,0,0
3,5,R1,XICHÚ,,30_3245_2_03,438_56_2945902,322,161,55,24,4,20,2.4845,-66.6667
3,5,R1,XICHÚ,,30_3245_2_03,438_56_2946902,308,154,52,0,0,0,0,0
3,5,R1,XICHÚ,,30_3245_2_03,438_56_2948902,270,135,61,0,0,0,0,0
5,6,R7,LEÓN DL3,,30_3220_1_03,438_56_1261902,2082,1041,175,147,2,145,0.1921,-97.2789
5,6,R7,LEÓN DL3,,30_3220_1_03,438_56_1262902,624,312,23,0,0,0,0,0
5,6,R7,LEÓN DL3,,30_3220_1_03,438_56_1263902,640,320,25,0,0,0,0,0
5,6,R7,LEÓN DL3,,30_3220_1_03,438_56_1264902,732,366,54,0,0,0,0,0
5,6,R7,LEÓN DL3,,30_3220_1_03,438_56_1265902,1354,677,175,58,1,57,0.1477,-96.5517
5,6,R7,LEÓN DL3,,30_3220_1_03,438_56_1266902,1142,571,219,103,7,96,1.2259,-86.4078
5,6,R7,LEÓN DL3,,30_3220_2_03,438_56_1267902,2382,1191,356,36,4,32,0.3359,-77.7778
5,6,R7,LEÓN DL3,,30_3220_2_03,438_56_1268902,1836,918,226,92,10,82,1.0893,-78.2609
5,6,R7,LEÓN DL3,,30_3220_2_03,438_56_1269902,2668,1334,311,152,5,147,0.3748,-93.4211
5,6,R7,LEÓN DL3,,30_3220_1_03,438_56_1270902,786,393,63,106,4,102,1.0178,-92.4528
5,6,R7,LEÓN DL3,,30_3220_6_03,438_56_1302902,532,266,43,104,4,100,1.5038,-92.3077
5,6,R7,LEÓN DL3,,30_3220_6_03,438_56_1303902,642,321,38,161,8,153,2.4922,-90.0621
5,6,R7,LEÓN DL3,,30_3220_6_03,438_56_1304902,4954,2477,279,1514,38,1476,1.5341,-94.9802
5,6,R7,LEÓN DL3,,30_3220_6_03,438_56_1305902,436,218,67,121,3,118,1.3761,-95.0413
5,6,R7,LEÓN DL3,,30_3220_6_03,438_56_1312902,752,376,50,187,3,184,0.7979,-96.7914
5,6,R7,LEÓN DL3,,30_3220_8_03,438_56_1313902,888,444,38,104,4,100,0.9009,-92.3077
5,6,R7,LEÓN DL3,,30_3220_8_03,438_56_1314902,1188,594,116,48,3,45,0.5051,-87.5
5,6,R7,LEÓN DL3,,30_3220_6_03,438_56_1315902,638,319,53,0,0,0,0,0
5,6,R7,LEÓN DL3,,30_3220_6_03,438_56_1316902,770,385,81,0,0,0,0,0
5,6,R7,LEÓN DL3,,30_3220_6_03,438_56_1317902,712,356,44,0,0,0,0,0
5,6,R7,LEÓN DL3,,30_3220_6_03,438_56_1327902,462,231,31,0,0,0,0,0
5,6,R7,LEÓN DL3,,30_3220_8_03,438_56_1328902,774,387,56,0,0,0,0,0
5,6,R7,LEÓN DL3,,30_3220_8_03,438_56_1329902,762,381,60,0,0,0,0,0
